originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,interactor1,interactor1stage,interactor1sex,interactor1temp,interactor1tempunit,interactor1growthtemp,interactor1growthtempunit,interactor1acctemp,interactor1acctempunit,interactor1acctempnotes,interactor1acctime,interactor1acctimeunit,interactor1acctimenotes,coordinatetype,latitude,longitude,figuretable,interactor1size,interactor1sizeunit,interactor1sizetype,citation,doi,notes,submittedby,contributoremail,,,,
LK298,metabolic rate (resting),mean oxygen consumption rate,,,180.2,VO2 (uL O2 gram-1 hour-1),,,,,,Alphitobius diaperinus,larval,,17,Celsius,25,Celsius,,,,,,,decimal,52.366667,4.883333,figure 2,14,mg,mean wet mass,Bj¿rge et al. 2018. Role of temperature on growth and metabolic rate in the tenebrionid beetles Alphitobius diaperinus and Tenebrio molitor. J. Insect Physiol. 107,10.1016/j.jinsphys.2018.02.010,fasting,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
LK298,metabolic rate (resting),mean oxygen consumption rate,,,211.8,VO2 (uL O2 gram-1 hour-1),,,,,,Alphitobius diaperinus,larval,,20,Celsius,25,Celsius,,,,,,,decimal,52.366667,4.883333,figure 2,14,mg,mean wet mass,Bj¿rge et al. 2018. Role of temperature on growth and metabolic rate in the tenebrionid beetles Alphitobius diaperinus and Tenebrio molitor. J. Insect Physiol. 107,10.1016/j.jinsphys.2018.02.010,fasting,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
LK298,metabolic rate (resting),mean oxygen consumption rate,,,295.7,VO2 (uL O2 gram-1 hour-1),,,,,,Alphitobius diaperinus,larval,,25,Celsius,25,Celsius,,,,,,,decimal,52.366667,4.883333,figure 2,14,mg,mean wet mass,Bj¿rge et al. 2018. Role of temperature on growth and metabolic rate in the tenebrionid beetles Alphitobius diaperinus and Tenebrio molitor. J. Insect Physiol. 107,10.1016/j.jinsphys.2018.02.010,fasting,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
LK298,metabolic rate (resting),mean oxygen consumption rate,,,499.6,VO2 (uL O2 gram-1 hour-1),,,,,,Alphitobius diaperinus,larval,,30,Celsius,25,Celsius,,,,,,,decimal,52.366667,4.883333,figure 2,14,mg,mean wet mass,Bj¿rge et al. 2018. Role of temperature on growth and metabolic rate in the tenebrionid beetles Alphitobius diaperinus and Tenebrio molitor. J. Insect Physiol. 107,10.1016/j.jinsphys.2018.02.010,fasting,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
LK298,metabolic rate (resting),mean oxygen consumption rate,,,766,VO2 (uL O2 gram-1 hour-1),,,,,,Alphitobius diaperinus,larval,,33,Celsius,25,Celsius,,,,,,,decimal,52.366667,4.883333,figure 2,14,mg,mean wet mass,Bj¿rge et al. 2018. Role of temperature on growth and metabolic rate in the tenebrionid beetles Alphitobius diaperinus and Tenebrio molitor. J. Insect Physiol. 107,10.1016/j.jinsphys.2018.02.010,fasting,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
LK298,metabolic rate (resting),mean oxygen consumption rate,,,912.7,VO2 (uL O2 gram-1 hour-1),,,,,,Alphitobius diaperinus,larval,,38,Celsius,25,Celsius,,,,,,,decimal,52.366667,4.883333,figure 2,14,mg,mean wet mass,Bj¿rge et al. 2018. Role of temperature on growth and metabolic rate in the tenebrionid beetles Alphitobius diaperinus and Tenebrio molitor. J. Insect Physiol. 107,10.1016/j.jinsphys.2018.02.010,fasting,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,3.04,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,4.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0156,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,3.99,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,4.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0153,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,3.77,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,4.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.015,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,4.06,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,4.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.016,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
